,Close
2748,728.2
2749,731.75
2750,708.1
2751,706.9
2752,683.9
2753,653.6
2754,659.35
2755,680.65
2756,667.35
2757,641.75
2758,663.65
2759,658.35
2760,653.1
2761,660.6
2762,651.2
2763,669.45
2764,670.2
2765,667.1
2766,645.25
2767,628.35
2768,633.25
2769,617.45
2770,624.3
2771,604.15
2772,590.65
2773,589.15
2774,608.3
2775,595.85
2776,623.15
2777,642.8
2778,646.6
2779,626.9
2780,650.05
2781,643.85
2782,648.1
2783,641.1
2784,647
2785,616.8
2786,623.6
2787,629.2
2788,650.75
2789,672.1
2790,681.5
2791,667
2792,675.15
2793,672.7
2794,666.8
2795,660.4
2796,671.45
2797,663.1
2798,659.85
2799,637
2800,620.3
2801,626.45
2802,637.8
2803,640.2
2804,644.1
2805,663.7
2806,667.9
2807,683.05
2808,698.45
2809,701.2
2810,708.2
2811,705.55
2812,698.35
2813,698.9
2814,715.7
2815,710.65
2816,690.15
2817,718
2818,706.7
2819,692.1
2820,694.6
2821,715
2822,732.2
2823,731.05
2824,722.85
2825,722.1
2826,717.35
2827,706.8
2828,699.4
2829,684.35
2830,662.5
2831,655.05
2832,664.8
2833,664.55
2834,661.1
2835,666.1
2836,647.2
2837,644.7
2838,634
2839,631.6
2840,646.05
2841,643.85
2842,658.85
2843,646.55
2844,649.4
2845,644.25
2846,643.15
2847,656.3
2848,668.55
2849,684.05
2850,689.1
2851,680
2852,660.05
2853,670.65
2854,669.2
2855,658.3
2856,654.8
2857,651.5
2858,657
2859,648.4
2860,648.2
2861,648.1
2862,638.65
2863,630.05
2864,643.05
2865,644.65
2866,638.95
2867,668
2868,674.55
2869,689.75
2870,696.05
2871,706.3
2872,703.3
2873,700.75
2874,700.2
2875,710.9
2876,724.4
2877,714.2
2878,709.1
2879,689.75
2880,694.2
2881,703.6
2882,693.8
2883,700.7
2884,703.7
2885,697.25
2886,698.55
2887,707.85
2888,708.2
2889,693.95
2890,703.3
2891,688.35
2892,689
2893,694.6
2894,685
2895,679.95
2896,676.45
2897,664.8
2898,646.75
2899,659
2900,666.15
2901,683.7
2902,668.75
2903,644.5
2904,660.6
2905,640.65
2906,639.2
2907,641.15
2908,645.85
2909,646.3
2910,628.2
2911,621.8
2912,645.2
2913,662.65
2914,660.95
2915,650.05
2916,655.2
2917,667.5
2918,659.25
2919,661.55
2920,654.2
2921,646.65
2922,645.1
2923,654.8
2924,662.35
2925,653
2926,675.05
2927,674.1
2928,643.5
2929,625
2930,622.35
2931,641.15
2932,636.95
2933,652.45
2934,640.9
2935,634.45
2936,620.8
2937,624.95
2938,645.4
2939,662.55
2940,666.75
2941,669.9
2942,664.4
2943,666.8
2944,673.45
2945,673.8
2946,673.95
2947,644.95
2948,633.4
2949,640.5
2950,669.2
2951,667.2
2952,688.7
2953,688.85
2954,684.35
2955,682.7
2956,683.45
2957,683.9
2958,679.85
2959,682.4
2960,666.7
2961,672.75
2962,657.55
2963,645.4
2964,635.05
2965,645.6
2966,623.35
2967,637.95
2968,624.15
2969,626.1
2970,613.75
2971,646.65
2972,635.65
2973,641.7
2974,656.1
2975,667.6
2976,662.2
2977,675.55
2978,669.3
2979,655.4
2980,647.35
2981,646.35
2982,630.35
2983,636.4
2984,626.35
2985,618.25
2986,623.4
2987,655.45
2988,662.45
