Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
30-01-2019,HDFC,EQ,1922.3,1924.6,1929.3,1869.5,1878.9,1885.8,1885.95,4127767,7.78E+14
31-01-2019,HDFC,EQ,1885.8,1883,1941.2,1877.3,1919,1922.35,1909.13,5303839,1.01E+15
1/2/2019,HDFC,EQ,1922.35,1929,1974.45,1925.1,1963.7,1961.25,1955.77,4867443,9.52E+14
4/2/2019,HDFC,EQ,1961.25,1959.9,1981.95,1942,1975,1978.5,1964.33,1421635,2.79E+14
5/2/2019,HDFC,EQ,1978.5,1979.8,1985,1962.25,1980,1981.4,1974.51,1450509,2.86E+14
6/2/2019,HDFC,EQ,1981.4,1983.6,1994.9,1975.5,1990,1987.95,1988.96,2036890,4.05E+14
7/2/2019,HDFC,EQ,1987.95,1990.05,1991.95,1962.55,1965.5,1969.65,1976.27,2722458,5.38E+14
8/2/2019,HDFC,EQ,1969.65,1963.1,1968.6,1936.85,1939.6,1944.65,1956.33,2187808,4.28E+14
11/2/2019,HDFC,EQ,1944.65,1943.9,1959,1935.6,1951.25,1948.2,1947.12,2209258,4.30E+14
12/2/2019,HDFC,EQ,1948.2,1950,1956.4,1901.15,1904.5,1905.05,1924.17,2642567,5.08E+14
13-02-2019,HDFC,EQ,1905.05,1907.1,1943,1907.1,1920.75,1930.5,1928.38,3710809,7.16E+14
14-02-2019,HDFC,EQ,1930.5,1921,1929.25,1893.85,1905.45,1900.7,1910.35,2511047,4.80E+14
15-02-2019,HDFC,EQ,1900.7,1900.6,1900.6,1856.5,1877.25,1874.9,1872.23,2647706,4.96E+14
18-02-2019,HDFC,EQ,1874.9,1877.3,1893,1864.05,1873.8,1874.85,1874.84,2768637,5.19E+14
19-02-2019,HDFC,EQ,1874.85,1870,1888.5,1844.25,1849.25,1853.45,1869.81,2988645,5.59E+14
20-02-2019,HDFC,EQ,1853.45,1865,1874.95,1858,1869,1870.5,1866.82,2645051,4.94E+14
21-02-2019,HDFC,EQ,1870.5,1871,1894.7,1865.1,1890.45,1891.45,1881.67,1578842,2.97E+14
22-02-2019,HDFC,EQ,1891.45,1893.95,1899,1877.5,1887,1887.4,1888.58,2461406,4.65E+14
25-02-2019,HDFC,EQ,1887.4,1897.9,1897.9,1871.5,1896.9,1894.5,1886.54,2049742,3.87E+14
26-02-2019,HDFC,EQ,1894.5,1874,1894.65,1850,1856,1853.65,1865.27,3756159,7.01E+14
27-02-2019,HDFC,EQ,1853.65,1868,1870,1820,1840.5,1841,1845.85,3412510,6.30E+14
28-02-2019,HDFC,EQ,1841,1849,1853.65,1834.6,1841.8,1841.2,1841.82,5693899,1.05E+15
1/3/2019,HDFC,EQ,1841.2,1850.4,1863.4,1838.3,1859.8,1859.45,1851.62,2679223,4.96E+14
5/3/2019,HDFC,EQ,1859.45,1856.8,1868.4,1838.55,1860.05,1860,1857.2,2256049,4.19E+14
6/3/2019,HDFC,EQ,1860,1864.7,1889.5,1858.8,1886,1885.2,1873.84,1828916,3.43E+14
7/3/2019,HDFC,EQ,1885.2,1892,1892,1865.2,1879,1880.2,1878.9,2171462,4.08E+14
8/3/2019,HDFC,EQ,1880.2,1879,1888,1871.1,1886.3,1884.05,1879.97,1845737,3.47E+14
11/3/2019,HDFC,EQ,1884.05,1886.35,1903.8,1884,1902.8,1897.55,1895.34,3170249,6.01E+14
12/3/2019,HDFC,EQ,1897.55,1914.9,1936.65,1900.1,1926.25,1930,1915.08,3692761,7.07E+14
13-03-2019,HDFC,EQ,1930,1939,1964.4,1923.4,1948.2,1950.65,1946.93,3570861,6.95E+14
14-03-2019,HDFC,EQ,1950.65,1971.8,1975.1,1949.3,1961.1,1956.95,1959.13,3985679,7.81E+14
15-03-2019,HDFC,EQ,1956.95,1960,1991.7,1955.9,1976.8,1974.65,1972.9,5984639,1.18E+15
18-03-2019,HDFC,EQ,1974.65,1982,1994.95,1953.1,1967,1962.4,1968.65,2563905,5.05E+14
19-03-2019,HDFC,EQ,1962.4,1972.9,1978.55,1962.1,1967,1967.85,1968.78,2827631,5.57E+14
20-03-2019,HDFC,EQ,1967.85,1975,1998,1968.1,1985,1987.55,1984.87,3654200,7.25E+14
22-03-2019,HDFC,EQ,1987.55,1998,2010,1970.6,1988,1981.55,1991.26,3560396,7.09E+14
25-03-2019,HDFC,EQ,1981.55,1976.9,1976.9,1938.2,1944.65,1945.65,1952.32,3270882,6.39E+14
26-03-2019,HDFC,EQ,1945.65,1950.4,1953.35,1930.85,1948.2,1946.3,1944.21,2621669,5.10E+14
27-03-2019,HDFC,EQ,1946.3,1955.55,1959,1906,1914.1,1919.9,1937.71,3076446,5.96E+14
28-03-2019,HDFC,EQ,1919.9,1917,1950,1912.05,1942.1,1944.45,1942.93,6370987,1.24E+15
29-03-2019,HDFC,EQ,1944.45,1950.05,1972.25,1936.05,1964,1968.25,1956.38,4320179,8.45E+14
1/4/2019,HDFC,EQ,1968.25,1968.1,1975,1945.05,1951,1959.65,1960.06,3328552,6.52E+14
2/4/2019,HDFC,EQ,1959.65,1966.1,2001,1955,1998.95,1995.95,1979.73,3655232,7.24E+14
3/4/2019,HDFC,EQ,1995.95,2004,2032.45,1997.15,2008.75,2013.1,2019.73,4345772,8.78E+14
4/4/2019,HDFC,EQ,2013.1,2008,2058.8,2006.3,2041.9,2042.05,2037.46,4463212,9.09E+14
5/4/2019,HDFC,EQ,2042.05,2045,2065,2035,2064.5,2059.2,2055.28,2576789,5.30E+14
8/4/2019,HDFC,EQ,2059.2,2068,2072.5,2029.25,2052,2054.9,2048.64,2057768,4.22E+14
9/4/2019,HDFC,EQ,2054.9,2062.5,2073,2039.15,2067,2069.15,2057.72,2381281,4.90E+14
10/4/2019,HDFC,EQ,2069.15,2067.5,2068,2025.1,2029.95,2029.25,2038.39,3036356,6.19E+14
11/4/2019,HDFC,EQ,2029.25,2028,2048,2017.5,2018.1,2022.8,2029.46,2521729,5.12E+14
12/4/2019,HDFC,EQ,2022.8,2024,2029.9,2008.1,2023,2024.95,2020.07,2121821,4.29E+14
15-04-2019,HDFC,EQ,2024.95,2034.9,2034.9,2010,2012,2014.25,2019.1,1333222,2.69E+14
16-04-2019,HDFC,EQ,2014.25,2019.7,2034.3,2016.1,2027.2,2026.7,2025.8,2000314,4.05E+14
18-04-2019,HDFC,EQ,2026.7,2040,2047.9,1998.15,2005,2003.75,2013.04,3888701,7.83E+14
22-04-2019,HDFC,EQ,2003.75,2005,2010,1948,1958.5,1953.9,1970.41,2002662,3.95E+14
23-04-2019,HDFC,EQ,1953.9,1958,1966.25,1929.6,1930,1934.7,1944.34,2848980,5.54E+14
24-04-2019,HDFC,EQ,1934.7,1943.9,1985,1933.25,1984.7,1980.4,1958.44,2758373,5.40E+14
25-04-2019,HDFC,EQ,1980.4,1987.55,1998.8,1946.55,1951.45,1955.15,1970.35,4162465,8.20E+14
26-04-2019,HDFC,EQ,1955.15,1959.3,1982.15,1941.6,1976.95,1977.4,1963.96,2094836,4.11E+14
30-04-2019,HDFC,EQ,1977.4,1977.4,1999.85,1954.2,1995.55,1995.05,1976.43,3675345,7.26E+14
2/5/2019,HDFC,EQ,1995.05,1995,2027.9,1989.25,2018,2017.4,2012.44,2380823,4.79E+14
3/5/2019,HDFC,EQ,2017.4,2017.5,2037.6,2000,2002.8,2006.4,2020.47,1451357,2.93E+14
6/5/2019,HDFC,EQ,2006.4,1987.25,1993.95,1957,1965.9,1965.45,1967.93,2216418,4.36E+14
7/5/2019,HDFC,EQ,1965.45,1974.8,2009.15,1959.2,1964.5,1966.3,1983.01,2683956,5.32E+14
8/5/2019,HDFC,EQ,1966.3,1964.5,1964.5,1925.05,1930.1,1930.75,1941.55,3626183,7.04E+14
9/5/2019,HDFC,EQ,1930.75,1926,1931.6,1901.3,1914.15,1914.6,1918.15,1932792,3.71E+14
10/5/2019,HDFC,EQ,1914.6,1915.25,1956,1910.75,1926.8,1931.7,1936.05,1628923,3.15E+14
13-05-2019,HDFC,EQ,1931.7,1926.1,1984.4,1917.85,1957,1952.9,1958.85,4509527,8.83E+14
14-05-2019,HDFC,EQ,1952.9,1961,1989.8,1924.25,1964.2,1965.2,1951.75,4304854,8.40E+14
15-05-2019,HDFC,EQ,1965.2,1975,1979.95,1937.5,1939.5,1944.95,1961.65,2371807,4.65E+14
16-05-2019,HDFC,EQ,1944.95,1954,1954,1923.3,1945.1,1942.1,1935.38,2527762,4.89E+14
17-05-2019,HDFC,EQ,1942.1,1941,1997.95,1938.55,1996,1993.65,1980.19,2328374,4.61E+14
20-05-2019,HDFC,EQ,1993.65,2030.5,2135.5,2030,2120.05,2122.5,2093.43,6214064,1.30E+15
21-05-2019,HDFC,EQ,2122.5,2141.2,2178.9,2104.1,2118,2114.5,2145.11,5575430,1.20E+15
22-05-2019,HDFC,EQ,2114.5,2124,2155.2,2119,2141.55,2138.8,2138.55,3076404,6.58E+14
23-05-2019,HDFC,EQ,2138.8,2174,2210,2103.3,2128.95,2114.4,2168.72,7619751,1.65E+15
24-05-2019,HDFC,EQ,2114.4,2125,2151.9,2095,2123,2123.4,2120.74,3307188,7.01E+14
27-05-2019,HDFC,EQ,2123.4,2129.95,2187.5,2116.2,2159.3,2165.3,2161.74,3886480,8.40E+14
28-05-2019,HDFC,EQ,2165.3,2167,2169.75,2114,2158,2147.85,2140.11,7177003,1.54E+15
29-05-2019,HDFC,EQ,2147.85,2150.1,2170,2135,2144,2147.45,2150.97,3085215,6.64E+14
30-05-2019,HDFC,EQ,2147.45,2141.4,2189.45,2130,2179.1,2184.4,2169.63,3766742,8.17E+14
31-05-2019,HDFC,EQ,2184.4,2190,2197,2140.05,2184,2182.65,2180.23,5769576,1.26E+15
3/6/2019,HDFC,EQ,2182.65,2200,2235,2192.7,2230.35,2230.45,2217.73,3673925,8.15E+14
4/6/2019,HDFC,EQ,2230.45,2220,2233.9,2209,2229.15,2223.95,2222.85,2430870,5.40E+14
6/6/2019,HDFC,EQ,2223.95,2230,2231,2171.65,2184,2183.45,2200.67,3888312,8.56E+14
7/6/2019,HDFC,EQ,2183.45,2190,2217.75,2168.4,2207,2210.85,2191.61,1951213,4.28E+14
10/6/2019,HDFC,EQ,2210.85,2215.25,2224.8,2175.45,2192,2194.05,2193.98,2484187,5.45E+14
11/6/2019,HDFC,EQ,2194.05,2202.25,2204,2181,2184.55,2189.85,2192.02,2393325,5.25E+14
12/6/2019,HDFC,EQ,2189.85,2187.5,2188.1,2162,2185,2181.95,2174.02,2223012,4.83E+14
13-06-2019,HDFC,EQ,2181.95,2180,2200.8,2161.35,2196,2197.5,2182.23,2691171,5.87E+14
14-06-2019,HDFC,EQ,2197.5,2204.5,2207.55,2177.15,2182.95,2185.85,2189.8,2162503,4.74E+14
17-06-2019,HDFC,EQ,2185.85,2193,2193,2164,2177,2173,2173.16,2058409,4.47E+14
18-06-2019,HDFC,EQ,2173,2178.9,2194.6,2134.65,2156,2153,2165.07,3405935,7.37E+14
19-06-2019,HDFC,EQ,2153,2160.05,2186.4,2158.55,2180.9,2175.4,2173.69,2146689,4.67E+14
20-06-2019,HDFC,EQ,2175.4,2174.1,2207.7,2165.65,2203,2199.25,2193.71,2933451,6.44E+14
21-06-2019,HDFC,EQ,2199.25,2200.8,2201.2,2135.9,2142.85,2140.8,2153.08,7764514,1.67E+15
